filename,species,filename2,species2
01_1_1.jpg,1,01_1_3.jpg,1
01_2_1.jpg,2,01_2_3.jpg,2
02_1_1.jpg,3,02_1_3.jpg,3
04_1_1.jpg,4,04_1_3.jpg,4
04_3_1.jpg,5,04_3_2.jpg,5
09_1_1.jpg,6,09_1_3.jpg,6
10_1_1.jpg,7,10_1_2.jpg,7
12_1_1.jpg,8,12_1_3.jpg,8
15_2_1.jpg,9,15_2_2.jpg,9
16_1_1.jpg,10,16_1_2.jpg,10
16_2_1.jpg,11,16_3_1.jpg,12
16_2_2.jpg,12,16_3_2.jpg,11
17_2_1.jpg,13,18_1_1.jpg,14
17_2_2.jpg,14,18_1_2.jpg,13
19_1_1.jpg,15,19_2_1.jpg,16
19_1_2.jpg,16,19_2_2.jpg,15
22_1_1.jpg,17,22_2_1.jpg,18
22_1_2.jpg,18,22_2_2.jpg,17
23_1_1.jpg,19,27_3_1.jpg,20
23_1_2.jpg,20,27_3_1.jpg,19